iter	Passed	Remaining
0	131	131070
1	132	66134
2	134	44542
3	135	33635
4	136	27077
5	137	22771
6	138	19627
7	139	17264
8	139	15414
9	140	13931
10	141	12722
11	142	11773
12	143	10918
13	144	10178
14	145	9532
15	145	8971
16	146	8470
17	147	8029
18	147	7629
19	149	7306
20	149	6988
21	150	6698
22	151	6434
23	152	6187
24	152	5963
25	153	5750
26	154	5551
27	154	5379
28	155	5214
29	156	5059
30	157	4915
31	157	4778
32	158	4650
33	159	4527
34	159	4409
35	160	4305
36	161	4205
37	162	4110
38	163	4023
39	163	3934
40	164	3852
41	165	3770
42	165	3689
43	166	3618
44	167	3550
45	167	3484
46	168	3420
47	169	3359
48	170	3302
49	170	3247
50	171	3193
51	172	3149
52	173	3101
53	174	3053
54	175	3009
55	175	2966
56	176	2922
57	177	2880
58	178	2846
59	179	2808
60	179	2770
61	180	2735
62	181	2700
63	182	2665
64	182	2631
65	183	2598
66	184	2565
67	185	2539
68	186	2511
69	186	2484
70	187	2456
71	188	2428
72	189	2403
73	189	2376
74	190	2353
75	191	2332
76	192	2310
77	193	2287
78	194	2264
79	194	2241
80	195	2218
81	196	2196
82	196	2170
83	197	2150
84	197	2131
85	198	2112
86	199	2095
87	200	2077
88	201	2059
89	201	2041
90	202	2024
91	203	2008
92	204	1992
93	204	1975
94	205	1959
95	206	1944
96	207	1929
97	207	1913
98	208	1897
99	209	1884
100	210	1870
101	210	1856
102	211	1842
103	212	1830
104	213	1816
105	213	1802
106	214	1788
107	214	1774
108	215	1763
109	216	1752
110	217	1741
111	218	1730
112	218	1718
113	219	1706
114	220	1695
115	220	1684
116	221	1672
117	222	1662
118	223	1652
119	223	1641
120	224	1630
121	225	1619
122	225	1609
123	226	1599
124	226	1588
125	227	1577
126	228	1568
127	228	1559
128	229	1550
129	230	1541
130	231	1533
131	232	1526
132	232	1516
133	233	1508
134	234	1500
135	234	1492
136	235	1484
137	236	1475
138	236	1467
139	237	1458
140	237	1449
141	238	1439
142	238	1431
143	239	1422
144	240	1415
145	240	1409
146	241	1402
147	242	1395
148	243	1388
149	243	1381
150	244	1374
151	245	1367
152	245	1360
153	246	1354
154	247	1349
155	248	1342
156	248	1336
157	249	1330
158	250	1324
159	251	1318
160	251	1310
161	252	1304
162	253	1299
163	253	1293
164	254	1287
165	255	1282
166	255	1276
167	256	1270
168	257	1264
169	257	1258
170	258	1252
171	259	1247
172	259	1242
173	260	1236
174	261	1231
175	262	1227
176	262	1222
177	263	1217
178	264	1212
179	265	1207
180	265	1202
181	266	1198
182	267	1193
183	268	1188
184	268	1184
185	269	1179
186	270	1173
187	270	1168
188	271	1165
189	272	1160
190	272	1156
191	273	1151
192	274	1146
193	274	1141
194	275	1136
195	275	1131
196	276	1127
197	277	1122
198	277	1118
199	278	1114
200	279	1110
201	280	1106
202	280	1102
203	281	1098
204	282	1094
205	282	1090
206	283	1086
207	284	1084
208	285	1081
209	286	1078
210	287	1074
211	288	1070
212	288	1066
213	289	1062
214	290	1060
215	291	1058
216	292	1054
217	292	1050
218	293	1046
219	294	1042
220	294	1038
221	295	1035
222	296	1031
223	297	1028
224	297	1025
225	298	1022
226	299	1018
227	299	1014
228	300	1011
229	300	1007
230	301	1003
231	302	1000
232	302	997
233	303	994
234	304	990
235	304	987
236	305	983
237	306	980
238	306	976
239	307	972
240	307	969
241	308	966
242	309	964
243	310	960
244	310	957
245	311	953
246	311	950
247	312	946
248	312	943
249	313	939
250	313	936
251	314	933
252	315	931
253	316	928
254	316	925
255	317	922
256	318	919
257	318	916
258	319	913
259	320	910
260	320	907
261	321	904
262	321	901
263	322	899
264	323	897
265	323	893
266	324	890
267	324	887
268	325	884
269	325	881
270	326	878
271	327	876
272	328	873
273	328	870
274	329	867
275	329	865
276	330	863
277	331	860
278	332	858
279	332	855
280	333	852
281	333	850
282	334	847
283	335	844
284	335	841
285	336	839
286	336	836
287	337	834
288	337	831
289	338	828
290	338	825
291	339	823
292	340	821
293	340	818
294	341	816
295	342	813
296	342	811
297	343	808
298	344	806
299	344	804
300	345	801
301	345	798
302	346	796
303	347	794
304	347	792
305	348	789
306	348	787
307	349	785
308	350	783
309	350	781
310	351	778
311	352	776
312	353	775
313	353	772
314	354	770
315	355	768
316	355	766
317	356	763
318	356	761
319	357	759
320	357	756
321	358	754
322	359	753
323	359	750
324	360	748
325	361	746
326	361	744
327	362	742
328	363	740
329	363	738
330	364	735
331	365	734
332	365	732
333	366	730
334	366	728
335	367	725
336	367	723
337	368	721
338	368	719
339	369	716
340	369	714
341	370	712
342	370	710
343	371	709
344	372	707
345	373	706
346	374	704
347	375	702
348	376	701
349	376	699
350	377	698
351	378	696
352	379	694
353	379	692
354	380	691
355	381	689
356	381	687
357	382	685
358	383	684
359	383	682
360	384	680
361	385	679
362	385	677
363	386	675
364	387	673
365	388	672
366	388	670
367	389	669
368	390	667
369	391	665
370	391	663
371	392	662
372	392	660
373	393	658
374	394	656
375	394	654
376	395	654
377	396	652
378	397	650
379	397	648
380	398	647
381	398	645
382	399	643
383	399	641
384	400	639
385	401	638
386	401	636
387	402	635
388	403	633
389	403	631
390	404	630
391	405	628
392	405	626
393	406	624
394	406	623
395	407	622
396	408	620
397	409	619
398	410	618
399	411	616
400	411	615
401	412	613
402	413	611
403	414	611
404	415	610
405	416	608
406	416	607
407	417	605
408	418	604
409	418	602
410	419	600
411	419	599
412	420	598
413	421	596
414	422	595
415	422	593
416	423	592
417	424	591
418	425	589
419	426	588
420	427	587
421	427	585
422	428	584
423	429	583
424	430	581
425	430	580
426	431	578
427	432	577
428	433	576
429	434	575
430	434	574
431	435	572
432	435	570
433	436	569
434	436	567
435	437	565
436	438	564
437	439	563
438	440	562
439	440	561
440	441	559
441	442	558
442	443	557
443	444	556
444	445	555
445	446	554
446	446	552
447	447	551
448	448	549
449	448	548
450	449	547
451	450	545
452	451	544
453	452	544
454	453	542
455	453	541
456	454	540
457	455	538
458	455	537
459	456	535
460	457	535
461	458	534
462	459	532
463	459	531
464	460	529
465	461	528
466	461	527
467	462	525
468	463	524
469	464	523
470	464	522
471	465	520
472	466	519
473	467	518
474	468	517
475	469	516
476	470	515
477	471	514
478	472	513
479	472	512
480	473	511
481	474	509
482	475	508
483	476	508
484	477	507
485	478	505
486	478	504
487	479	502
488	480	501
489	480	500
490	481	499
491	482	498
492	483	497
493	484	496
494	485	495
495	486	493
496	486	492
497	487	491
498	488	490
499	489	489
500	490	488
501	491	487
502	491	485
503	492	484
504	493	483
505	493	482
506	495	481
507	496	480
508	497	479
